title,genre,Tag Count,Tags
Notes from Underground,Fiction,4,"Classics, History, Literary Fiction, Philosophical"
"The Rap Year Book: The Most Important Rap Song From Every Year Since 1979, Discussed, Debated, and Deconstructed",Nonfiction,1,"Music, History,Humor"
Holding Up the Universe,Young Adult,4,"Fiction, Romance, Mental health, Contemporary"
Cell,Horror,4,"Fantasy, Science fiction, Dystopian, Paranormal"
Dreams from My Father: A Story of Race and Inheritance,History,6,"Nonfiction, Biography, Biography & Autobiography, social science, African Americans"
Needful Things,Fantasy,5,"Fiction, Fantasy, Thriller, Police, Supernatural"
Mr. Mercedes,Horror,5,"Fiction, Mystery, Thriller, Murder, Crime"
The Path of Daggers,Fantasy,5,"Fiction, Fantasy, Adventure, Science fiction, War"
A Storm of Swords,Fantasy,6,"Fiction, Fantasy, Adventure, Science fiction, War, Magic"
The Diviners,Mystery,9,"Fiction, Fantasy, Young Adult, Adventure, History, LGBTQ, Mystery, Young Adult Fiction, Murder"
Watchmen,Fiction,8,"Fantasy, Adventure, Classics, Science fiction, Comics, Dystopian, Comics & Graphic Novels, Graphic novels"
Becoming,Young Adult,6,"Nonfiction, Biography, Biography & Autobiography, Women, Self-Help, autobiography"
The Satanic Verses,Fantasy,7,"Fantasy, Classics, Literature, Travel, Family, Domestic fiction, Magical Realism"
Say Nothing: A True Story of Murder and Memory in Northern Ireland,History,9,"History, War, Nonfiction, Mystery, Biography & Autobiography, Thriller, Murder, True crime, Historical"
Misery,Horror,7,"Fiction, Fantasy, Classics, Suspense, Literary Collections, American, Foreign Language Study"
The Lost Symbol,Fiction,8,"Fantasy, Adventure, Science fiction, Thriller, Historical Fiction, Literary Collections, Spanish, American"
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Nonfiction,4,"Nonfiction, Cooking, Food, Cookbook"
A Game of Thrones,Fantasy,10,"Fantasy, Fiction, Adventure, Classics, Science fiction, War, Young Adult Fiction, Magic, Fantasy fiction, High Fantasy"
Breaking Dawn,Fantasy,9,"Fiction, Fantasy, Young Adult, Adventure, Science fiction, Romance, War, Mystery, Young Adult Fiction"
American Gods,Fantasy,9,"Fantasy, Adventure, Fiction, Young Adult, Classics, Science fiction, Comics & Graphic Novels, Literature, Spanish"
Night Shift,Horror,8,"Fiction, Fantasy, Young Adult, Science fiction, Romance, Mystery, Short stories, Suspense"
The Andromeda Strain,Fiction,8,"Fantasy, Adventure, Classics, Science fiction, Dystopian, Mystery, Space, Aliens"
The God of Small Things,Fiction,6,"Classics, Romance, Family, Domestic fiction, India, French literature"
The Talisman,Fantasy,5,"Fantasy, Fiction, Adventure, Science fiction, Boys"
Much Ado About Nothing,Classics,9,"Fiction, Young Adult, Classics, History, Romance, Comics, Nonfiction, Juvenile Nonfiction, Literature"
The Girl with the Dragon Tattoo,Mystery,10,"Fiction, Adventure, Classics, Comics, Mystery, Comics & Graphic Novels, Thriller, Suspense, Murder, Literary Collections"
Death Masks,Fantasy,6,"Fantasy, Fiction, Young Adult, Adventure, Science fiction, Mystery"
Junie B. Jones Is a Party Animal,Fiction,2,"Young Adult, Fiction"
Death and the Devil,Fiction,4,"Fantasy, History, Mystery, Historical Fiction"
The Grim Grotto,Fiction,5,"Fantasy, Young Adult, Adventure, Classics, Fiction"
Capital in the Twenty-First Century,History,3,"History, Business & Economics, Finance"
My Brilliant Friend,Fiction,7,"Classics, History, Friendship, Women, Historical Fiction, Drama, Literary Fiction"
The Last Days of Jack Sparks,Horror,4,"Fiction, Fantasy, Science fiction, Journalists"
Burning Chrome,Fiction,7,"Fantasy, Adventure, Classics, Science fiction, Dystopian, Space, Cyberculture"
Excession,Fiction,6,"Fantasy, Science fiction, Adventure, War, Space, Aliens"
The Buried Giant,Fantasy,7,"Fantasy, Adventure, Classics, History, Literary Fiction, Magical Realism, Amnesiacs"
The Raven Boys,Fiction,5,"Fantasy, Young Adult, Adventure, LGBTQ, Magic"
ZOM-B Mission,Fiction,5,"Fantasy, Young Adult, Science fiction, Dystopian, Young Adult Fiction"
Our Dark Duet,Fiction,6,"Fantasy, Young Adult, Science fiction, Dystopian, Young Adult Fiction, Fantasy fiction"
Lovely War,Fantasy,4,"Fantasy, Young Adult, War, Young Adult Fiction"
"Forgotten the untold story of D-Day's Black heroes, at home and at war",Unknown,1,nan
The Three Stigmata of Palmer Eldritch,Fiction,8,"Fantasy, Classics, Science fiction, Dystopian, Space, Aliens, Drugs, Hallucinogenic drugs"
In a Free State,Fiction,1,Classics
Matched,Young Adult,8,"Fiction, Fantasy, Adventure, Science fiction, Romance, Dystopian, Young Adult Fiction, Dystopian"
Rendezvous with Rama,Science fiction,7,"Science fiction, Fiction, Fantasy, Adventure, Classics, Space, Aliens"
Boundaries in Marriage: Understanding the Choices That Make or Break Loving Relationships,Nonfiction,5,"Nonfiction, Religion, Philosophy, Psychology, Family & Relationships"
Moon Over Soho,Fantasy,8,"Fantasy, Fiction, Adventure, Science fiction, Comics, Mystery, Police, Urban Fantasy"
Dauntless,Fiction,6,"Fantasy, Adventure, Science fiction, War, Space, Aliens"
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Religion & Philosophy,5,"Philosophy, Business & Economics, Education, Self-Help, Psychology"
Pegasus in Space,Fantasy,5,"Fantasy, Young Adult, Adventure, Science fiction, Space"
Red Sister,Fantasy,8,"Fantasy, Fiction, Young Adult, Adventure, Science fiction, LGBTQ, Dystopian, Assassins"
"A Silent Voice, Vol. 1",Young Adult,4,"Comics, Romance, Philosophy, Bullies"
Things to Make and Do in the Fourth Dimension,Nonfiction,4,"Fiction, Science, Crafts & Hobbies, Games & Activities"
The Outsiders,Young Adult,7,"Fiction, Classics, Adventure, Young Adult Fiction, Friendship, Family, literary criticism"
Shōgun,Fiction,8,"Fantasy, Adventure, Classics, History, War, Historical Fiction, Adventure stories, British"
Hearing God: Developing a Conversational Relationship with God,Nonfiction,2,"Nonfiction, Religion"
The Fortress of Solitude,Fiction,3,"Fantasy, Classics, Comics"
Our Lady of Darkness,Fiction,3,"Fantasy, Classics, Science fiction"
The Artist's Way: A Spiritual Path to Higher Creativity,Classics,7,"Classics, Nonfiction, Religion, Self-Help, Art, non-fiction, artistic"
The Shattered Lens,Fiction,6,"Fantasy, Young Adult, Adventure, Science fiction, Fiction, Children's stories"
Founders at Work,Unknown,1,nan
The Idiot,Fiction,5,"Classics, History, Literature, Good and evil, Russia"
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,5,"Nonfiction, Business & Economics, Science, Computers, Science"
The Night Before Christmas: A Classic Illustrated Edition,Fantasy,3,"Fantasy, Young Adult, Classics"
Green Mars,Fiction,6,"Fantasy, Adventure, Classics, Science fiction, Space, Life on other planets"
Lord Foul's Bane,Fiction,7,"Fantasy, Young Adult, Adventure, Classics, Science fiction, Mystery, Covenant"
One of Us Is Lying,Young Adult,5,"Fiction, Mystery, LGBTQ, Young Adult Fiction, Murder"
Jurassic Park,Fiction,7,"Science fiction, Fantasy, Young Adult, Adventure, Classics, Science, Thriller"
Xenocide,Fiction,9,"Fantasy, Young Adult, Adventure, Classics, Science fiction, War, Dystopian, Space, Aliens"
Illusions: The Adventures of a Reluctant Messiah,Fantasy,4,"Fantasy, Adventure, Science fiction, Classics"
Doomsday Book,Fiction,7,"Fantasy, Science fiction, Adventure, Classics, History, Time Travel, Black Death"
"The Grief Recovery Handbook, 20th Anniversary Expanded Edition",Unknown,1,nan
First Lord's Fury,Fiction,5,"Fantasy, Young Adult, Adventure, Science fiction, War"
A Visit from the Goon Squad,Fiction,3,"Literature, Friendship, Art"
Hitch-22,Biography,3,"Biography, Nonfiction, Biography & Autobiography"
The Death Cure,Fantasy,9,"Fantasy, Young Adult, Fiction, Adventure, Science fiction, Dystopian, Young Adult Fiction, Thriller, Spanish"
Manhattan In Reverse,Fantasy,4,"Fantasy, Adventure, Science fiction, Space"
A Conjuring of Light,Fantasy,7,"Fantasy, Young Adult, Fiction, Adventure, LGBTQ, Magic, Fantasy fiction"
The Adventures of Huckleberry Finn,Fiction,6,"Classics, Adventure, Young Adult, History, Comics, Comics & Graphic Novels"
Sweet Bean Paste,Fiction,3,"Friendship, Literary Fiction, Japan"
Midnight Alley,Fantasy,2,"Fantasy, Young Adult"
The Internet and Its Protocols: A Comparative Approach,Unknown,1,nan
Vampire Academy,Fiction,8,"Fantasy, Young Adult, Adventure, Romance, Young Adult Fiction, Friendship, Magic, Spanish"
Finch,Fantasy,5,"Fantasy, Science fiction, War, Dystopian, Aliens"
The Goblin Emperor,Fantasy,6,"Fantasy, Fiction, Young Adult, Adventure, Science fiction, Fantasy fiction"
The Gate of Gods,Fantasy,3,"Fantasy, Adventure, Science fiction"
The Broken Eye,Fantasy,8,"Fantasy, Fiction, Young Adult, Adventure, Science fiction, War, Magic, Fantasy fiction"
The Glass Castle,Fiction,6,"Young Adult, Classics, Science fiction, Biography, Biography & Autobiography, Women"
Dark Lover,Fiction,2,"Fantasy, Romance"
Lucifer's Hammer,Fiction,7,"Fantasy, Adventure, Classics, Science fiction, Dystopian, Space, End of the world"
Time for the Stars,Fantasy,6,"Fantasy, Young Adult, Adventure, Classics, Science fiction, Space"
Pulphead,Unknown,1,nan
Mind Storm,Fiction,1,nan
Coming Apart,Nonfiction,2,"Nonfiction, social science"
The Sellout,Fiction,3,"African Americans, Fathers and sons, Satire"
The Sacred Lies of Minnow Bly,Fantasy,2,"Fantasy, Young Adult"
At All Costs,Fantasy,5,"Fantasy, Adventure, Science fiction, War, Space"
Dead Wake: The Last Crossing of the Lusitania,History,3,"History, War, Nonfiction"
Girls of Paper and Fire,Fiction,5,"Fantasy, Young Adult, LGBTQ, Dystopian, Young Adult Fiction"
Der Fledermausmann,Fiction,4,"Mystery, Murder, Police, Australia"
Nickel and Dimed: On (Not) Getting by in America,Classics,7,"Classics, Biography, Business & Economics, Women, social science, Blue collar workers, Minimum wage"
Tuck Everlasting,Fiction,6,"Fantasy, Classics, Young Adult, Adventure, Science fiction, Children"
Fantastic Mr Fox,Fiction,7,"Fantasy, Young Adult, Adventure, Classics, Children, Spanish, Children's stories"
Sojourn,Fiction,6,"Fantasy, Young Adult, Adventure, Science fiction, Comics, Comics & Graphic Novels"
The Rolling Stones,Fantasy,6,"Fantasy, Young Adult, Adventure, Science fiction, Classics, Space"
Goodnight Moon,Fiction,6,"Fantasy, Young Adult, Classics, Spanish, Children's Literature, picture book"
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",History,6,"History, War, Nonfiction, Biography, Biography & Autobiography, Politics"
Heidi,Children's Fiction,4,"Juvenile Fiction, Children's stories, Adventure stories, Swiss (German)"
The Silmarillion,Fantasy,10,"Fantasy, Fiction, Classics, Young Adult, Adventure, Science fiction, Short stories, Mythology, High Fantasy, Epic Fantasy"
1491: New Revelations of the Americas Before Columbus,History,2,"History, Nonfiction"
Erasure,Fiction,2,"Classics, LGBTQ"
2061: Odyssey Three,Fiction,7,"Fantasy, Adventure, Classics, Science fiction, Space, Aliens, Computers"
Choke,Fiction,3,"Classics, Literature, Alzheimer's disease"
A key to treehouse living,Unknown,1,nan
Stone of Tears,Fiction,6,"Fantasy, Young Adult, Adventure, Science fiction, Magic, Fantasy fiction"
Chasing the Dime,Fiction,4,"Adventure, Thriller, Women, Escort services"
The Maltese Falcon,Fiction,4,"Adventure, Classics, LGBTQ, Mystery"
Rough Country,Fiction,6,"Mystery, Thriller, Suspense, Murder, Women, Police"
The Moonstone,Fiction,8,"Classics, Young Adult, Adventure, Mystery, History, Romance, Literature, Murder"
"Attack on Titan: Before the Fall, Vol. 2",Fantasy,8,"Fantasy, Young Adult, Adventure, Science fiction, War, Comics, Dystopian, Comics & Graphic Novels"
The Dressmaker,Unknown,1,nan
Riot Baby,Fiction,5,"Fantasy, Young Adult, Science fiction, Dystopian, Historical Fiction"
Ham on Rye,Fiction,4,"Young Adult, Classics, Literature, Broadsides"
New Moon,Fiction,7,"Fantasy, Young Adult, Adventure, Science fiction, Romance, Comics, Graphic novels"
The Darkness That Comes Before,Fiction,3,"Fantasy, Adventure, Science fiction"
The Player of Games,Fiction,7,"Fantasy, Adventure, Classics, Science fiction, Space, Aliens, Computer games"
Arctic Dreams: Imagination and Desire in a Northern Landscape,Action & Adventure,2,"Adventure, Classics"
End of Watch,Fiction,5,"Fantasy, Science fiction, Mystery, Suspense, Murder"
Gideon the Ninth,Fantasy,10,"Fantasy, Fiction, Science fiction, Young Adult, LGBTQ, Adventure, Mystery, Space, Dystopian, Horror"
Insurgent,Young Adult,8,"Fiction, Fantasy, Adventure, Science fiction, Dystopian, Romance, Philosophy, Young Adult Fiction"
The Atrocity Archives,Science fiction,9,"Fiction, Fantasy, Adventure, Science fiction, History, Aliens, Demonology, Intelligence officers, Computer hackers"
Before the Fall,Fiction,2,"Thriller, Suspense"
Radiance,Fiction,4,"Fantasy, Adventure, Science fiction, Space"
Admissions: Life as a Brain Surgeon,Biography,1,Biography
After You,Fiction,4,"Young Adult, Romance, Family, Families"
Lord Arthur Savile's Crime,Classics,1,Classics
The Beauty,Action & Adventure,1,Adventure
A mouthful of air,Unknown,1,nan
The Star Beast,Fantasy,6,"Fantasy, Young Adult, Adventure, Science fiction, Classics, Aliens"
Hellboy,Unknown,1,nan
Fool's Fate,Fiction,5,"Fantasy, Young Adult, Adventure, Magic, dragons"
Glass Houses,Fantasy,3,"Fantasy, Young Adult, Young Adult Fiction"
Roadside picnic,Unknown,1,nan
Principles: Life and Work,Biography,4,"Biography, Philosophy, Business & Economics, Business"
What We Talk About When We Talk About Love,Fiction,3,"Classics, Short stories, American"
The Troop,Horror,8,"Fiction, Young Adult, Adventure, Science fiction, Thriller, Suspense, Friendship, Bioengineering"
