genre,tags
Fiction,"Foster home care, Self-Help, College stories, political science, Adoption, American drama, Race, Nigeria, Soviet Union, Early memories, Homelessness, Russia, American fiction, Business, Epidemics, DC Comics, Graphic novels, Computers,  Classified, Time Travel, English drama, France, Carnivals, romcom, STEM, Deaf people, murder mystery, Contemporary, dragons, Clairvoyants, German fiction, Family secrets, Military, Dune (Imaginary place), Best friends, Widows, Middle Grade, Life on other planets, Literary,  American, Native Americans, Queer, Prisoners, Children, ChickLit, England, Historical Fiction, African Americans, Crime, Cannibalism, Religion, New adult, Blind, Hallucinogenic drugs, Christmas, Holocaust, romcoms, Business intelligence, Young Adult Fiction, Christianity, Japanese literature, Gothic novels, LGBTQ Literature, Fantasty fiction, Epic Fantasy, erotica, Criminal investigation, Historical Fantasy,  Subterranean, Romantic Suspense, Actresses, Performing Arts, Asia, Genetic engineering, Existentialism, Alchemists, Asian American women, Abandoned children, Fantasy, Brotherhoods, Country life, Friends, Alchemy, Assassins, Gay men, Contemporary Fiction, Fantasy games, Black Love, multiverse, multimedia, Defection, World War, comedy, witches, Adoptees,  Legends & Mythology, Emperors, Depression, greek mythology, Caribbean, Music, Space colonies, Corporations, Earth (Planet), Adult Fiction, Cyborgs,  Australian, Dark Romance, Artificial Intelligence, autobiography, Monsters, Civilization, Political corruption, Ambassadors, Boarding school, Castles, Love stories, Romantic Comedy, Gothic Horror, Dogs, Clairvoyance, Accidents, Adventure, Fantasy romance, Mentally ill, Romantic fantasy, African American gay men, India, LGBTQ, End of the world, Aging, Gothic, cyberpunk, Science fiction, Ambition, Antiquities, Humor, Homeless children, Middle East, Disasters, Japan, Historians, Poetry, Chick Lit, Parenting, Arms race, Japanese fiction, Humorous fiction, Space Horror, Psychological thriller, Success, Businesswomen, Literary Fiction, World War I, Travel, Government, War, Anxiety disorders, literary criticism, Mexico, Alzheimer's disease, Feminism, Mysticism, Escort services, Space warfare, Sisters, Abduction, Spirituality, Business communication, Art, Psychology, Alcoholics, True crime,  Latin American, Magic, Attempted assassination, Fathers and daughters, Extraterrestrial beings, British, Police, Manuscripts, Children's Literature, Brennan, Families, Young Adult Romance, alien, Beauty, Disability, Books, Ballerinas, Spanish fiction, Australia, Custody of children, Satire, City and town life, Female friendship, Arranged marriage, Brothers, Spanish literature, Goddesses, Figure skaters, Medical, Drugs, Lesbians, Western, Children's stories, social science, Dwarfs, Thriller, Language Arts & Disciplines, Devil, Tennis stories, Immigrants, zombies, Child abuse, Businessmen, Animal behavior, Mafia, Young adult fantasy, Nature, Romantasy, African American families, Imaginary wars and battles, Animals, Comics,  Greek, Abusive men, Education, Middle Ages, Horror fiction, Hackers, Great Britain, Horror, teen, Allegories, Artists, Post World War, Battles, Autobiographical fiction, Feminist fiction, Business & Economics, Military Fiction, Literary Collections, Fathers, Belief and doubt, Cults, Vampires, Neo-Western, Sports, Politics, Chess, Domestic fiction, Classics, Amnesia, Germany, Clergy, Food, Plays,  Korean, Chief executive officers, Russian fiction, Cowboy Romance, Contests, Asian Americans, Adventure stories, Period romance, Science, Nature stories, Suspense fiction, Cyberculture, Aliens, African American girls, Reincarnation,  Ancient, Intelligence service, Angels, Dark Academia, Grief, Betrayal, Governors, History, dystopian, Drama, Caste, Alcoholism, Human-animal relationships, communism, Indonesian language, Memory, Anthology, Relationships, Folklore, Humanity, Friendship, Abuse of administrative power, Americans, Illness, Adventure and adventurers, Children's poetry, Boys, Comics & Graphic Novels,  Folk Tales, Murder, Fashion editors, Crime Fiction, Cold cases (Criminal investigation), Industrial relations, Christian Fiction, Dinosaurs, Enemies to lovers, Kidnapping victims, Antarctica, Good and evil, Adolescence, Romance, Dreams, Family & Relationships, Antislavery movements, Contemporary Romance, Apprentices, Detective and mystery stories, Russian Literature, Smutty, Dystopian, American Dream, Arctic regions, High Fantasy, Prisoners of war, Gender identity, Death, Family, Clubs, Dictators, Native American Literature, Aristocracy (Social class), Imaginary places, Gay, Korea (North), Retellings, Biography & Autobiography, Homecoming, Civil war, adult romances, Amnesiacs, Spanish, African American teenage girls, Gay teenagers, Refugees, Womanhood,  artistic, Fantasy fiction, Black Death, Fantastic fiction, nan, Humorous stories, gods, relationships, Christmas stories, Artificial life, Books About Books, Divorced people, Young Adult, Hell, Sports Romance, French drama, Celebrities, Cousins, Post-Apocalyptic Science Fiction, Conspiracy, Conspiracies, College students, Mental health, Space, French literature, Mystery, Deception, Coma, Mafia Romance, Sweden, Women, Concentration camps, Camps, Justice, Erotic stories, Emotional problems, Anonymous persons, United States, Choice, Anarchism, Period piece, Communists, Film, Identity (Psychology)., Philosophy, Computer games, Czech fiction, Covenant, Renaissance, Cooking, Labor camps, Chemical warfare, Dictatorship, Addicts, science fantasy, Fathers and sons, Literature, Climatic changes, Kidnapping, Extortion, Classical fiction, Suspense, Coming of Age, Magic Realism, Biographers, Romance fiction, China, Private schools, Cowboys, Hockey Romance, Philosophical, Fate and fatalism, Short stories, picture book, Mental illness, Crime investigation, American, adult, American literature, Siblings, Fairy tales, Magic realism (Literature), Climate and civilization, Biography, Dark Comedy, Urban Fantasy, Historical Romance, Africans, Broadsides, Mystery fiction"
Unknown,nan
Young Adult,"Adolescent psychology, Education, Family, Self-Help, Adventure, High school, Deportation, LGBTQ, Horror, Biography & Autobiography, Science fiction, Spanish, High school students, Humor, Middle East, Fiction, Graphic novels, nan, Poetry, Contemporary, Politics, Television plays, Evolution (Biology), Classics, Amnesia, Best friends, Health & Fitness, College students, Contests, Mental health, Space,  American, War, Mystery, Native Americans, Adventure stories, Queer, Science, literary criticism, Fugitives from justice, Children, Suspense fiction, Attempted murder, Historical Fiction, Aliens, African Americans, Crime, Women, Religion, Caregivers, Forensic Science, Young Adult Fiction, Psychology, Dark Academia, History, Magic, Bullies, Philosophy, Friendship, Fantasy, detective, Young Adult Romance, Comics & Graphic Novels, Murder, Crime Fiction, Literature, Abused teenagers, Suspense, Coming of Age, Romance, Lesbians, Contemporary Romance, Apprentices, Nonfiction, Detective and mystery stories, Thriller, Mental illness, Young Adult Fiction / Mysteries & Detective Stories, autobiography, Dystopian, Siblings, Young adult fantasy, Asexuality, Romantasy, Conduct of life, Biography, Fairies, Boarding school, Comics, Paranormal"
Horror,"Foreign Language Study, Suspense, Classics, Gothic Horror, Haunted houses, Young Adult, Good and evil, Adventure, LGBTQ, Romance, literary horror, Literary Fiction,  American, Detective and mystery stories, War, Children's stories, Science fiction, Thriller, Friendship, Fear, Short stories, Mystery, Best sellers, Fantasy, Family secrets, American fiction, Bioengineering, Humor, adult, Fiction, Murder, Literary Collections, Dystopian, Journalists, Crime, science fantasy, nan, Haunted House, Literature, Accident victims, Comics, Paranormal"
History,"Family, Adventure, political science, India, LGBTQ, Biography & Autobiography, Cancer, Mathematics, Business & Economics, Humor, Business, Diophantine analysis, Sports, Politics, Finance, Classics, Books About Books, Young Adult, Health & Fitness, Racism, Debt, Space, Travel, War, Mystery, Architects, Native Americans, Science, African Americans, Women, Religion, Ethnic relations, Games, Intelligence service, Rome, Psychology, True crime, History, United States,  China, Anthropology, Philosophy, Friendship, Computer games, Islam and politics, Antineoplastic agents, Cooking, Law, Comics & Graphic Novels, Murder, Historical, US History, Capitalism, Religion & Spirituality, Biology, Egypt, Literature, Veganism, Antarctica, Chronology, Medical, China, Music, Romance,  Viking, Nonfiction, social science, Thriller, Environmental degradation, Technology, Immigrants, Shipwreck survival, Nature, Biography, Civilization, Developing countries, Crime investigations, Comics"
Fantasy,"Romantic Comedy, Gothic Horror, Family, Education, fae, Coffee shops, Adventure, Fantasy romance, LGBTQ, Imaginary places, End of the world, Mystical powers, Gothic, Bands (Music), Magical Realism, Horror, Retellings, Biography & Autobiography, Asian Literature,  Mythical, Science fiction, Amnesiacs,  Human, Spanish, Corruption, Battles, Community life, General, American fiction, Curiosities and wonders, Humor, Fantasy comic books, Academic writing, Fiction, Graphic novels,  Diana (Fictitious character), Literary Collections, Japan, Time Travel, Housekeepers, Fantasy fiction, Vietnam, Blessing and cursing, Paranormal romance, Fantastic fiction, gods, Poetry, Assasins, Chick Lit, Vampires, Buddhist nuns, Mythological, murder mystery, Archetype, medieval, relationships, Contemporary, dragons, Japanese fiction, Politics, Slice of life, Family secrets, Domestic fiction, Classics, Young Adult, Antiheroes, Fables, Plays, Middle Grade, Best friends, Psychological thriller, Dark, Science fiction romance,  Lyra (Fictitious character), Hobbits (Fictitious characters), College students, warfare, Contests, Sword and Sorcery, Conspiracies, Space, Literary Fiction,  American,  etc, Travel, Retelling, War, Humorous fantasy, Screenplay, Mystery, Anxiety in adolescence, informative, Adventure stories, Queer, Science, literary criticism, pulp fiction, Children, Detectives, Air warfare, Feminism, Gods and goddesses, Alliances, Bodyguards, adventurous, Historical Fiction, science-fiction, Death (Personification), short story, Aliens, Forests and forestry, African Americans, Steampunk, Carnivorous plants, Women, Demonology, Religion, New adult, Clans, fantas, Games, Young Adult Fiction, Balls (Parties), Camps, Art, Japanese literature, Fairy Tale Retelling, Angels, Psychology, Dark Academia, Erotic stories, Fanfiction, Gothic novels, LGBTQ Literature, Betrayal, Abused wives, Immortality, Mythology, History, Epic Fantasy, Drama, dystopian, Manga, Human-animal relationships, Forgers, erotica, Death, Criminal investigation, Historical Fantasy, Magic, Attempted assassination, Romantic Suspense, Omegaverse, Relationships, Folklore, Philosophy, Police, Friendship, Abnormalities, Asia, Novella, Fantasy, Action, Children's Literature, Boys, Families, Tragedy, Comics & Graphic Novels, Young Adult Romance, Demoniac possession, Murder, Self help, Progression Fantasy, Barbarians, Dark Fantasy, Alchemy, Magical School, Satire, science fantasy, Assassins, Contemporary Fiction, Gay men, Fathers and sons, Religion & Spirituality, Absentee fathers, Literature, Brothers, Enemies to lovers, quest, Buddhist gods, New adult fantasy, Suspense, Coming of Age, Electronic books, Good and evil, Magic Realism, greek mythology, Belacqua, Odysseus (Greek mythology), China, indigenous, science fiction fantasy, Fantasy., Romance, Holiday, Lesbians, Arts, Adult Fiction, Contemporary Romance, Western, Paranormal Romance, College graduates, Dark Romance, Detective and mystery stories, Children's stories, Apprentices, Post Apocalyptic, Nonfiction, Thriller, Short stories, Space Opera, Dungeons and Dragons (Game), Smutty, Teenagers, adult, Bishop, Businessmen, Popular literature, Dystopian, Siblings, Supernatural, Alaska, Fairy tales, Young adult fantasy, Romantasy, High Fantasy, Biography, Urban Fantasy, Imaginary wars and battles, Fairies, Animals, Boarding school, Historical Romance, Ability, Comics, low fantasy, Paranormal"
Mystery,"Education, Family, Gothic Horror, Clubs, Adventure, LGBTQ, Gothic, Horror, Retellings, Manors, Science fiction,  Dutch, American fiction, Humor, Fiction, Literary Collections, vigilante, Cults, Detective and mystery fiction, Vampires, Government investigators, Contemporary, Family secrets, Classics, Clergy, Young Adult, Psychological thriller, Celebrities, College students, Fame, Space,  Jane (Fictitious character), Literary Fiction,  American, women, War, Abused, Women lawyers, Mystery, Children, Suspense fiction, Apartment houses, Historical Fiction, Couples, Aliens, Crime, Women, Abused women, Christmas, Forensic Science, Young Adult Fiction, Psychology, Young Sleuth, True crime, Gossip, History, Drama, Adultery, Magic, Historical Mystery, Police, Friendship, Missing persons, Novella, Fantasy, Medical examiners (Law), Comics & Graphic Novels, Disability, Murder, Whodunnit, Literature, Kidnapping, comedy, Extortion, Suspense, cosy mystery, Brainwashing, Romance, Domestic drama, Family & Relationships, Contemporary Romance, Detective and mystery stories, Thriller,  Hercule (Fictitious character), Space Opera, Husbands, Short stories, Survival, adult, Dystopian, Blizzards, Comics, Mystery fiction, Paranormal"
Nonfiction,"Consumers' preferences, Education, Family, Self-Help, Leadership, Economics, Spiritualism, political science, Humanities, Ethics, Race, Sex instruction for women, Biography & Autobiography, Linguistics, Adulthood, Chance, Ghosts & Hauntings, Spanish, Introversion, Innovation, Mathematics, Cookbook, Business & Economics, Humor, Business, Academic writing, Disasters, Fiction, Computers, Advice, Computer software, Body, House & Home, Belief and doubt, Parenting, Sports, Politics, Finance, Classics, Food, Health & Fitness, Racism, Dead, Celebrities, Mental health, Space,  American, Travel, Personal Development, Social Issues, War, Anxiety disorders, Rationalism, Geography, informative, tech development, Science, literary criticism, Children, Feminism, African Americans, Crime, Games & Activities, Women, Pedagogy, Religion, Sociology, Essays, Games, Spirituality, Art, Psychology, Neuroscience, True crime, Productivity, History, Decision making, Behavior, Writing, Critical thinking, Technology & Engineering, Bureaucracy, Information technology, Basic income, non-fiction,  Mind & Spirit, Philosophy, Friendship, Cooking, Law, Errors, Self help, Murder, Cognition, Design, Biology, Activism, Literature, Inspirational, Fraud, Medical, Programming, Romance, Family & Relationships, Arts, Nonfiction, social science, Feminist Theory, Language Arts & Disciplines, Health, Technology, God, Human behavior, Consumption (Economics), Nature, Conduct of life, Biography, Attention, Crime investigations, Emotions, Algorithms, Computer Science"
Classics,"Education, Family, Business ethics, Self-Help, Adventure,  etc.), Leadership, Economics, Investing, political science, LGBTQ, Speeches, Minimum wage, Gothic, Horror, Biography & Autobiography, Science fiction, Spanish, Investments, Animal rights, Mathematics, Business & Economics, Humor, Books and reading, Business, Fiction, Graphic novels, Computers, Literary Collections,  artistic, Body, Poetry, Politics, Finance, Classics, Young Adult, Plays, Presidents, Psychological thriller, Celebrities, Mental health, Space,  American, Travel, War, Mystery, Science, literary criticism, Children, Feminism, England, Historical Fiction, African Americans, Women, Religion, Essays, Art, Psychology, Art and music, True crime, History, Drama, Mothers, Artificial intelligence., non-fiction,  Mind & Spirit, Philosophy, Friendship, Fantasy, Neurology, Stoicism, Self help, Murder, City planners, Juvenile Nonfiction, Literature, Brothers, Juvenile Fiction, Foreign Language Study, Electronic books, Medical,  Chinese, Epic Poetry, Romance, Family & Relationships, Nonfiction, social science, Thriller, Irish Americans, Language Arts & Disciplines, Artificial Intelligence, Mental illness, Regency Romance, Blue collar workers, Evolution, Dystopian, Siblings, Indonesia, Nature, Conduct of life, Biography, Dark Comedy, Feminist ethics, Comics, Energy policy, Computer Science"
Science fiction,"Education, Family, Adventure, LGBTQ, Robots, Horror, Science fiction, Overpopulation, Cities and towns, General, Mathematics, Carnival owners, Curiosities and wonders, Humor, Fiction, Computers, Time Travel, lgbtqia+, Detective and mystery fiction, Contemporary, Classics, Amnesia, Dune (Imaginary place), Young Adult, Life on other planets, Celebrities, Space, Literary Fiction,  American, Travel, War, Intelligence officers, Apocalypse, Mystery, Native Americans, Science, Aliens, Demonology, furry, Immortalism, Young Adult Fiction, History, dystopian, Solarpunk, alternate history, Magic, Friendship, Fantasy, German language, alien, Murder, science fantasy,  Jim (Fictitious character), Fathers and sons, Literature, Artists' books, Juvenile Fiction, Suspense, science fiction fantasy, Drugs, Romance, Scotland, Nonfiction, Detective and mystery stories, social science, Post Apocalyptic, Interplanetary voyages, Thriller, Short stories, Space Opera, Artificial Intelligence, Technology, adult, Action and adventure, Dystopian, Astronauts, Noir, Biography, Computer hackers, Comics, Paranormal"
